|Papel|Cotação|P/L|P/VP|PSR|Div.Yield|P/Ativo|P/Cap.Giro|P/EBIT|P/Ativ Circ.Liq|EV/EBIT|EV/EBITDA|Mrg Ebit|Mrg. Líq.|Liq. Corr.|ROIC|ROE|Liq.2meses|Patrim. Líq|Dív.Brut/ Patrim.|Cresc. Rec.5a
0|CSTB3|150.0|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|40,85%|28,98%|2.6|22,40%|20,11%|0.0|8420670000.0|0.14|31,91%
1|CLAN3|0.0|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-1,05%|0.0|1012240000.0|0.0|-63,96%
2|PMET3|0.0|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|4,10%|0.0|-290863000.0|0.0|37,74%
3|POPR4|10.17|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|8,66%|5,65%|1.08|15,25%|19,93%|0.0|545803000.0|0.82|30,93%
4|CFLU4|1000.0|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|8,88%|10,72%|1.1|17,68%|32,15%|0.0|60351000.0|0.06|8,14%
5|MNSA4|0.47|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|-208,15%|-362,66%|3.63|-13,50%|145,70%|0.0|-9105000.0|-6.52|-41,11%
6|PORP4|2.4|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-2,08%|0.0|22399000.0|0.0|13,66%
7|IVTT3|0.0|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-0,40%|0.0|1083050000.0|0.0|20,67%
8|MNSA3|0.42|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|-208,15%|-362,66%|3.63|-13,50%|145,70%|0.0|-9105000.0|-6.52|-41,11%
9|CSTB4|147.69|0.0|0.0|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|40,85%|28,98%|2.6|22,40%|20,11%|0.0|8420670000.0|0.14|31,91%
10|GNDI3|66.95|-3584.82|5.84|3.423|2,39%|2.378|79.65|87.05|-6.21|91.13|50.88|3,93%|-0,09%|1.17|3,09%|-0,16%|0.0|7116080000.0|0.53|25,23%
11|PLDN4|486.0|-553.07|1.08|0.919|0,00%|0.611|1.07|-75.56|3.1|-33.12|-33.12|-1,22%|-0,17%|10.81|-1,27%|-0,20%|0.0|289939000.0|0.01|10,26%
12|BAHI4|86.0|-339.05|18.51|6.009|0,00%|3.812|-19.49|-404.2|-5.48|-419.09|212.84|-1,49%|-1,77%|0.33|-1,02%|-5,46%|0.0|122640000.0|0.98|57,20%
13|LCSA4|35.09|-337.52|-228.0|79.738|0,00%|125.308|-202.27|-505.8|-96.61|-506.56|-506.56|-15,77%|-23,63%|0.29|-28,74%|67,55%|0.0|-377568000.0|-0.35|6.354,07%
14|BHGR3|19.1|-272.16|1.1|3.613|0,00%|0.855|-194.45|23.7|-8.56|25.95|14.2|15,24%|-1,31%|0.96|3,93%|-0,40%|0.0|1077600000.0|0.2|20,67%
15|DMMO3|1.76|-258.65|-1.72|2.854|0,00%|3.346|11.9|6.37|-1.37|5.9|5.42|44,81%|-1,10%|2.25|70,39%|0,66%|0.0|-553275000.0|0.0|-17,37%
16|PRGA4|75.0|-257.76|8.29|2.345|0,00%|2.204|17.94|59.24|-8.23|63.85|25.1|3,96%|-0,47%|1.37|6,22%|-3,21%|0.0|15228100000.0|1.3|12,17%
17|BAHI5|65.0|-256.26|13.99|4.542|0,00%|2.881|-14.73|-305.5|-4.14|-320.39|162.72|-1,49%|-1,77%|0.33|-1,02%|-5,46%|0.0|122640000.0|0.98|57,20%
18|FRIO3|301.0|-232.79|-4.57|0.962|0,00%|1.057|-3.23|21.76|-2.17|36.96|22.27|4,42%|0,42%|0.68|7,11%|1,96%|10814.2|-414191000.0|-3.62|9,28%
19|RJCP3|0.01|-224.7|0.65|0.0|0,00%|0.619|0.0|-522.94|0.0|-523.96|-917.32|0,00%|0,00%|0.0|0,00%|-0,29%|0.0|17287200.0|0.0|0,00%
20|ABYA3|4.91|-214.8|1.76|2.055|0,00%|0.527|1.98|19.96|-2.75|33.67|33.67|10,29%|-0,96%|2.09|2,78%|-0,82%|0.0|292060000.0|1.31|16,41%
21|PITI4|1.28|-204.74|0.0|0.0|0,00%|0.0|0.0|-2637.65|0.0|-2637.65|111.07|0,00%|0,00%|0.0|0,00%|0,00%|0.0|0.0|0.0|-29,63%
22|SCLO3|14.1|-161.14|-0.08|0.0|0,00%|0.726|-0.08|-161.14|-0.08|-482.66|-482.66|0,00%|0,00%|0.01|-0,47%|0,05%|0.0|-161270000.0|-0.17|-55,74%
23|SYNE3|9.01|-136.96|0.91|3.238|0,00%|0.343|4.07|7.73|-1.34|11.43|8.52|41,91%|1,31%|5.28|4,84%|-0,66%|3049310.0|1516280000.0|0.64|-2,28%
24|APER3|43.49|-135.02|1.89|2.778|0,00%|1.079|-16.57|21.8|-4.36|22.09|14.84|12,74%|-2,17%|0.74|5,29%|-1,40%|65905.5|469071000.0|0.11|39,89%
25|MRVE3|7.14|-134.78|0.6|0.541|0,00%|0.16|0.67|14.42|-0.69|41.12|27.81|3,75%|-0,25%|2.07|1,16%|-0,44%|115282000.0|6745350000.0|1.16|4,17%
26|LCSA3|12.5|-120.23|-81.22|28.405|0,00%|44.638|-72.05|-180.18|-34.41|-180.95|-180.95|-15,77%|-23,63%|0.29|-28,74%|67,55%|0.0|-377568000.0|-0.35|6.354,07%
27|MAGG3|59.4|-119.98|1.32|0.684|0,00%|0.44|9.32|4.07|-1.55|6.41|5.34|16,82%|-0,57%|1.14|14,05%|-1,10%|0.0|2246130000.0|1.03|9,27%
28|SQIA3|27.37|-110.33|3.7|3.592|0,00%|1.49|25.87|62.33|-3.84|67.32|18.5|5,76%|-2,88%|1.43|2,81%|-3,35%|0.0|650717000.0|0.65|46,32%
29|PLAS3|6.1|-106.15|-0.19|0.08|0,00%|0.112|-0.29|-3.68|-0.09|-17.17|10.61|-2,18%|-0,08%|0.45|-3,67%|0,17%|11249.9|-409281000.0|-0.72|28,64%
30|ATOM3|2.24|-103.54|3.15|2.51|0,00%|2.055|2.18|-27.12|3.27|-17.17|-19.16|-9,26%|-2,42%|30.64|-32,48%|-3,04%|85020.4|16924000.0|0.0|19,39%
31|LINX3|37.4|-90.95|4.38|7.885|1,52%|2.745|11.96|53.17|47.06|51.49|22.97|14,83%|-8,67%|2.14|6,82%|-4,81%|0.0|1619010000.0|0.22|15,54%
32|BNCA3|70.3|-90.3|2.45|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-2,72%|0.0|3068150000.0|0.0|2,41%
33|HETA3|96.0|-77.22|-0.14|12.959|0,00%|3.761|-17.5|22.52|-0.14|171.82|171.82|57,54%|-16,78%|0.49|16,71%|0,18%|0.0|-351552000.0|-0.92|36,54%
34|AMIL3|32.2|-73.28|7.7|1.129|0,00%|2.003|-16.95|136.58|-5.43|138.61|50.13|0,83%|-1,53%|0.75|2,22%|-10,51%|0.0|1532980000.0|1.24|28,47%
35|BRTP3|35.71|-67.26|2.45|1.168|0,00%|0.684|8.98|6.03|-2.4|7.55|7.55|19,37%|-2,96%|1.29|13,41%|-3,64%|0.0|5302340000.0|0.91|3,66%
36|IDVL11|140.0|-66.0|60.56|0.0|0,00%|0.0|0.0|0.0|0.0|0.0|0.0|0,00%|0,00%|0.0|0,00%|-91,76%|0.0|237683000.0|0.0|0,00%
37|CSNA3|14.03|-58.47|1.06|0.409|5,29%|0.203|2.31|2.49|-0.48|6.14|4.23|16,45%|0,89%|1.32|11,29%|-1,82%|112789000.0|17500700000.0|2.56|16,76%
38|NGRD3|1.04|-58.06|0.55|0.932|0,52%|0.383|1.57|285.3|4.29|114.41|3.96|0,33%|-2,05%|2.6|0,19%|-0,95%|588614.0|448125000.0|0.05|6,62%
39|BRFS3|16.65|-57.22|1.84|0.521|0,00%|0.489|3.98|13.15|-1.83|17.75|6.98|3,96%|-0,47%|1.37|6,22%|-3,21%|163508000.0|15228100000.0|1.3|12,17%
40|PEFX3|19.0|-52.04|1.68|0.477|0,00%|0.597|20.34|5.75|-3.18|6.59|0.0|8,30%|-0,92%|1.07|11,77%|-3,24%|0.0|396955000.0|0.31|4,36%
41|PEFX5|19.0|-52.04|1.68|0.477|0,00%|0.597|20.34|5.75|-3.18|6.59|0.0|8,30%|-0,92%|1.07|11,77%|-3,24%|0.0|396955000.0|0.31|4,36%
42|CLSA3|7.74|-51.94|2.02|2.885|0,00%|1.651|3.52|-17.19|3.67|-12.94|-27.21|-16,78%|-5,56%|3.88|-18,48%|-3,88%|11662500.0|720924000.0|0.05|13,21%
43|JBSS3|24.31|-50.82|1.24|0.148|4,11%|0.262|1.76|10.45|-0.67|24.8|8.06|1,42%|-0,20%|1.64|3,37%|-2,45%|177369000.0|43351100000.0|2.23|15,94%
44|MTIG4|23.0|-49.52|-359.15|56.001|0,00%|36.906|-50.93|-94.31|-44.0|-95.57|-104.6|-59,38%|-113,09%|0.27|-47,80%|725,28%|0.0|-7835380.0|-4.95|-26,54%
45|TOYB4|2.5|-47.96|-5.43|5.256|0,00%|4.405|-6.47|-9.04|-3.83|-9.15|-9.67|-58,16%|-10,96%|0.49|-59,36%|11,31%|0.0|-13852000.0|-0.07|-26,99%
46|IMBI3|5.01|-46.42|2.81|2659.02|0,00%|0.518|-2.21|-97.12|-0.37|-104.72|-107.45|-2.737,88%|-13.821,20%|0.05|-0,54%|-6,05%|0.0|62544000.0|0.22|-57,16%
47|CLAN4|3.0|-44.92|0.47|15.151|0,00%|0.406|-15.5|-82.56|-6.36|-97.43|22.68|-18,35%|-33,73%|0.73|-0,50%|-1,05%|0.0|1012240000.0|0.08|-63,96%
48|TOYB3|2.29|-43.94|-4.97|4.815|0,00%|4.035|-5.93|-8.28|-3.5|-8.39|-8.87|-58,16%|-10,96%|0.49|-59,36%|11,31%|0.0|-13852000.0|-0.07|-26,99%
49|EBTP3|10.21|-43.56|1.17|0.548|0,00%|0.353|-502.47|6.42|-0.73|8.46|2.85|8,53%|-1,03%|0.99|6,03%|-2,68%|0.0|10782200000.0|0.39|22,10%
50|EBTP4|10.0|-42.66|1.14|0.537|0,00%|0.346|-492.13|6.29|-0.71|8.33|2.81|8,53%|-1,03%|0.99|6,03%|-2,68%|0.0|10782200000.0|0.39|22,10%
51|HAPV3|4.04|-41.2|0.62|1.112|0,00%|0.405|15.31|51.26|-1.96|58.87|12.85|2,17%|-2,70%|1.23|0,88%|-1,51%|231461000.0|49092200000.0|0.23|51,94%
52|RCSL3|1.63|-40.08|435.89|3.656|0,00%|3.422|29.01|-68.5|-6.45|-68.32|-121.81|-5,34%|-9,13%|1.34|-5,31%|-1.087,60%|1972510.0|476000.0|0.0|37,43%
53|LWSA3|4.93|-39.91|1.02|2.276|0,00%|0.639|5.78|36.04|12.9|22.44|9.17|6,32%|-5,70%|1.35|2,42%|-2,56%|41131200.0|2882150000.0|0.03|38,62%
