Filme,Diretor,Genero,Ano,Pais,Avaliacao,IMDb Rating
Psicose,Alfred Hitchock,Terror,1960,Estados Unidos,Excelente,8.5
2001 Uma odisseia no espaço,Stanley Kubrick,"Aventura, Ficção científica",1968,Estados Unidos,Muito bom,8.3
O bebê de Rosemary,Roman Polanski,"Terror, Drama",1968,Estados Unidos,Excelente,8.0
Laranja mecânica,Stanley Kubrick,"Crime, Ficção científica",1971,Estados Unidos,Excelente,8.3
Chinatown,Roman Polanski,"Crime, Drama",1974,Estados Unidos,Bom,8.2
Um estranho no ninho,Milos Forman,Drama,1975,Estados Unidos,Excelente,8.7
Táxi Drive,Martin Scorsese,"Crime, Drama",1976,Estados Unidos,Muito bom,8.2
O inquilino,Roman Polanski,"Crime, Drama",1976,França,Muito bom,7.6
Fuga de alcatraz,Don Siegel,"Crime, Biografia",1979,Estados Unidos,Bom,7.6
O iluminado,Stanley Kubrick,"Terror, Drama",1980,Estados Unidos,Excelente,8.4
Nascido para matar,Stanley Kubrick,"Drama, Guerra",1987,Estados Unidos,Muito bom,8.3
Quero ser Grande,Penny Marshall,"Comédia, Drama",1988,Estados Unidos,Bom,7.3
Sociedade dos poetas mortos,Peter Weir,"Comédia, Drama",1989,Estados Unidos,Bom,8.1
O cemitério maldito,Mary Lambert,Terror,1989,Estados Unidos,Muito bom,6.5
Ghost,Jerry Zucker,"Drama, Romance",1990,Estados Unidos,Muito bom,7.1
Conduzindo Miss Daisy,Bruce Beresford,"Comédia, Drama",1990,Estados Unidos,Bom,7.3
Os bons companheiros,Martin Scorsese,"Crime, Biografia",1990,Estados Unidos,Muito bom,8.7
Louca obsessão,Rob Reiner,"Crime, Drama",1990,Estados Unidos,Muito bom,7.8
Tempo de despertar,Penny Marshall,"Drama, Biografia",1990,Estados Unidos,Muito bom,7.8
Edward Mãos de Tesoura,Tim Burton,"Drama, Romance",1990,Estados Unidos,Muito bom,7.9
Cabo do medo,Scorsesse,"Crime, Drama",1991,Estados Unidos,Bom,7.3
O silêncio dos inocentes,Jonathan Demme,"Crime, Drama",1991,Estados Unidos,Excelente,8.6
Cães de aluguel,Quentin Tarantino,"Crime, Drama",1992,Estados Unidos,Bom,8.3
O morro dos ventos uivantes,Peter Kosminsky,"Drama, Romance",1992,Estados Unidos,Excelente,6.6
Perfume de mulher,Martin Brest,Drama,1992,Estados Unidos,Bom,8.0
Filadélfia,Jonathan Demme,Drama,1993,Estados Unidos,Muito bom,7.7
A lista de Schindler,Steven Spielberg,"Drama, Biografia",1993,Estados Unidos,Excelente,9.0
Um sonho de liberdade,Frank Darabont,Drama,1994,Estados Unidos,Excelente,9.3
O profissional,Luc Besson,"Ação, Drama",1994,França,Muito bom,8.5
Forrest Gump,Robert Zemeckis,"Drama, Romance",1994,Estados Unidos,Excelente,8.8
Pulp Fiction,Quentin Tarantino,"Crime, Drama",1994,Estados Unidos,Bom,8.9
Seven os sete crimes capitais,David Fincher,"Crime, Drama",1995,Estados Unidos,Muito bom,8.6
Trainspotting,Danny Boyle,Drama,1996,Inglaterra,Bom,8.1
Sleepers,Barry Levinson,"Crime, Drama",1996,Estados Unidos,Muito bom,7.5
As duas faces de um crime,Gregory Hoblit,"Crime, Drama",1996,Estados Unidos,Muito bom,7.7
Los Angeles - Cidade Proibida,Curtis Hanson,"Crime, Drama",1997,Estados Unidos,Muito bom,8.2
Amistad,Steven Spielberg,"Drama, Biografia",1997,Estados Unidos,Muito bom,7.3
Gênio Indomável,Gus Van Sant,Drama,1997,Estados Unidos,Muito bom,8.3
A vida é bela,Roberto Benigni,"Drama, Romance",1997,Itália,Excelente,8.6
Titanic,James Cameron,"Drama, Romance",1997,Estados Unidos,Excelente,7.9
O show de Truman,Peter Weir,"Comédia, Drama",1998,Estados Unidos,Bom,8.2
A outra história americana,Tony Kaye,"Crime, Drama",1998,Estados Unidos,Muito bom,8.5
O resgate do soldado Ryan,Steven Spielberg,"Drama, Guerra",1998,Estados Unidos,Muito bom,8.6
Patch Adams,Tom Shadyac,"Drama, Biografia",1998,Estados Unidos,Muito bom,6.8
Central do brasil,Walter Salles,Drama,1998,Brasil,Muito bom,8.0
O Sexto sentido,M. Night Shyamalan,Drama,1999,Estados Unidos,Muito bom,8.2
Beleza Americana,Sam Mendes,Drama,1999,Estados Unidos,Muito bom,8.4
A espera de um Milagre,Frank Darabont,Drama,1999,Estados Unidos,Excelente,8.6
Clube da Luta,David Fincher,"Ação, Drama",1999,Estados Unidos,Excelente,8.8
Antes do Anoitecer,Julian Schnabel,"Drama, Biografia",2000,Estados Unidos,Bom,7.2
Gladiador,Ridley Scott,"Ação, Drama",2000,Estados Unidos,Muito bom,8.5
Psicopata americano,Mary Harron,"Crime, Drama",2000,Estados Unidos,Bom,7.6
O auto da compadecida,Guel Arraes,"Comédia, Drama",2000,Brasil,Muito bom,8.6
A.I - Inteligência artificial,Steven Spielberg,"Drama, Ficção científica",2001,Estados Unidos,Muito bom,7.2
Uma Mente Brilhante,Ron Howard,"Drama, Biografia",2001,Estados Unidos,Muito bom,8.2
O Fabuloso destino de Amélie Poulain,Jean-Pierre Jeunet,"Comédia, Romance",2001,França,Bom,8.3
Os Outros,Alejandro Amenábar,Suspense,2001,Estados Unidos,Muito bom,7.6
Uma lição de amor,Jessie Nelson,Drama,2001,Estados Unidos,Muito bom,7.6
Vanilha Sky,Alejandro Amenábar,"Ação, Drama",2001,Estados Unidos,Bom,6.9
Donnie Darko,Richard Kelly,Drama,2001,Estados Unidos,Bom,8.0
O chamado,Gore Verbinski,Terror,2002,Estados Unidos,Muito bom,7.1
Prenda-me se for capaz,Steven Spielberg,"Crime, Biografia",2002,Estados Unidos,Muito bom,8.1
As confissões de Smith,Alexander Payne,Drama,2002,Estados Unidos,Bom,7.2
Dragão vermelho,Brett Ratner,"Crime, Drama",2002,Estados Unidos,Excelente,7.2
O pianista,Roman Polanski,"Drama, Biografia",2002,França,Muito bom,8.5
Cidade de deus,Fernando Meirelles,"Crime, Drama",2002,Brasil,Muito bom,8.6
O quarto do pânico,David Fincher,"Crime, Drama",2002,Estados Unidos,Bom,6.8
Os vigaristas,Ridley Scott,"Comédia, Drama",2003,Estados Unidos,Bom,7.3
Desaparecidas,Ron Howard,"Crime, Drama",2003,Estados Unidos,Muito bom,6.5
Lisbela e o prisioneiro,Guel Arraes,"Comédia, Romance",2003,Brasil,Bom,7.6
O homem que copiava,Jorge Furtado,"Comédia, Drama",2003,Brasil,Bom,7.6
Sobre meninos e lobos,Clint Eastwood,"Crime, Drama",2003,Estados Unidos,Muito bom,7.9
Garganta do diabo,Mike Figgis,"Crime, Drama",2003,Estados Unidos,Bom,5.0
Menina de ouro,Clint Eastwood,"Drama, Biografia",2004,Estados Unidos,Muito bom,8.1
Closer,Mike Nichols,"Drama, Romance",2004,Estados Unidos,Muito bom,7.2
Brilho eterno de uma mente sem lembranças,Michel Gondry,"Drama, Romance",2004,Estados Unidos,Bom,8.3
O terminal,Steven Spielberg,"Comédia, Drama",2004,Estados Unidos,Muito bom,7.4
Efeito borboleta,J. Mackye Gruber,"Drama, Ficção científica",2004,Estados Unidos,Muito bom,7.6
Crash,Paul Haggis,"Crime, Drama",2004,Estados Unidos,Muito bom,7.7
O diário de uma paixão,Nick Cassavetes,"Drama, Romance",2004,Estados Unidos,Muito bom,7.8
Mar adentro,Alejandro Amenábar,"Drama, Biografia",2004,Espanha,Muito bom,8.0
"Cinema, Aspirinas e Urubus",Marcelo Gomes,Aventura,2005,Brasil,Bom,7.3
Golpe baixo,Peter Segal,"Comédia, Drama",2005,Estados Unidos,Bom,6.4
O Labirinto do fauno,Guilhermo del Toro,Drama,2006,México,Bom,8.2
Click,Frank Coraci,"Comédia, Drama",2006,Estados Unidos,Bom,6.4
O despertar de uma Paixão,John Curran,"Drama, Romance",2006,Estados Unidos,Muito bom,7.4
O ilusionista,Neil Burger,"Crime, Drama",2006,Estados Unidos,Muito bom,7.5
Perfume - A história de um assasino,Tom Tykwer,"Crime, Drama",2006,Estados Unidos,Muito bom,7.5
O grande truque,Christopher Nolan,"Crime, Drama",2006,Estados Unidos,Muito bom,8.5
Os infiltrados,Martin Scorsese,"Crime, Drama",2006,Estados Unidos,Excelente,8.5
